ProductUID,NomeProduto,Loja,Preco,Moeda,PrecoUnidade,Unidade,IsPromo,ValidadeDe,ValidadeAte,SourceURL,FetchedAt
eau-de-vie-poire,Eau de vie poire,ALDI,11.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
eau-de-vie-pomme,Eau de vie pomme,ALDI,11.79,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
eau-de-vie-kirsch,Eau de vie kirsch,ALDI,13.87,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
eau-de-vie-quetsch,Eau de vie quetsch,ALDI,13.87,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
eau-de-vie-mirabelle,Eau de vie mirabelle,ALDI,15.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
pom-s,Pom's,ALDI,1.89,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
viva,Viva,ALDI,0.6,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
blue,Blue,ALDI,0.75,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
farine-de-ble,Farine de blé,ALDI,1.45,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
beurre-rose,Beurre Rose,ALDI,6.49,EUR,,,FALSE,,,https://www.aldi.lu/fr/produits/qualite-luxembourgeoise.html,2025-09-13T06:32:32.848092Z
